ANO;MÊS;LABORATORIO;PROCEDIMENTO;QTDE EXAMES;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;ANTI-A;1701;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;ANTI-B;1701;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;ANTI-CDE;173;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;ANTI-D;1701;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;AUTO CONTROLE;6;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;COOMBS DIRETO (POLIESPECIFICO);358;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;COOMBS DIRETO MONOESPECIFICO;25;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;FENOTIPAGEM ERITROCITARIA;11;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;HA1;1476;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;HB;1476;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;HEMOLISINA;1;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;IDENTIFICACAO DE ACS PAINEL;16;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;IDENTIFICACAO DE ANTICORPOS;3;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;ISOHEMAGLUTININA IGM E IGG;3;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;TESTE DE COMPATIBILIDADE;1118;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;TITULACAO;1;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;TITULACAO DE ANTICORPOS;14;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL CAMPUS;TRIAGEM DE ANTICORPOS - IDENTIFICACAO;1368;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;ANTI-A;550;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;ANTI-A1 (LECTINA);4;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;ANTI-B;550;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;ANTI-CDE;65;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;ANTI-D;550;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;AUTO CONTROLE;1;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;COOMBS DIRETO (POLIESPECIFICO);13;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;COOMBS DIRETO MONOESPECIFICO;24;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;HA1;550;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;HB;550;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;IDENTIFICACAO DE ACS PAINEL;8;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;TESTE DE COMPATIBILIDADE;459;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;TIPAGEM ABO/RH;1;;;;;;;
2014;Janeiro;AGENCIA TRANSFUSIONAL UE;TRIAGEM DE ANTICORPOS - IDENTIFICACAO;385;;;;;;;
2014;Janeiro;DIVISAO DE GASTRO - PEDIATRIA;PHMETRIA;6;;;;;;;
2014;Janeiro;DIVISAO DE GASTROENTEROLOGIA;MANOMETRIA DO ESOFAGO;22;;;;;;;
2014;Janeiro;DIVISAO DE GASTROENTEROLOGIA;PHMETRIA;7;;;;;;;
2014;Janeiro;HEMATOLOGIA - CITOGENETICA;CARIOTIPO COM BANDAMENTO GTG;10;;;;;;;
2014;Janeiro;HEMATOLOGIA - CITOGENETICA;PESQUISA DE CROMOSSOMO PHILADELPHIA;3;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;(DRVVT) COAGULACAO PELO VENENO DE RUSSEL;200;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;(TTP-AL) TEMPO TROMBOPL PARCIAL - ANTICOAGULANTE LUPICO;166;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;ATIVIDADE ANTI X-A;9;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;ATIVIDADE DO COFATOR DA RISTOCETINA (RICOF);20;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;ATIVIDADE DO FATOR IX DA COAGULACAO;4;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;ATIVIDADE DO FATOR VIII DA COAGULACAO;30;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;ATIVIDADE DO FATOR XI DA COAGULACAO;2;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;ATIVIDADE DO FATOR XII DA COAGULACAO;2;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;DOSAGEM DE ANTITROMBINA (CROM);42;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;DOSAGEM DE PROTEINA C (CROM);37;;;;;;;
